OBJECTID,School Name,District,DPI Unique ID,School Type,Agency Type,Grade Range,School Style,Choice School?,Full Address,School Website,Lowest Grade,Highest Grade,CESA,District ID,School Code,Choice Reporting Type,Virtual?,Physical Street Address,City,State,ZIP Code,County,Locale Code,Locale,Latitude,Longitude,Wisconsin State Assembly,Wisconsin State Senate,US Congressional,x,y
1,Abundant Life Christian School,Madison Metropolitan,S32691300,Combined Elementary/Secondary School,Private school,K4-12,Unknown,Yes,"4901 E Buckeye Rd  Madison, WI 53716-1864",https://www.alcs.us,K4,12,2,3269,1300,Voucher Students,No,4901 E Buckeye Rd,Madison,WI,53716-1864,Dane,11,City - Large,43.07146898,-89.29822302,78,26,2,577134.4425,288990.3114
2,Academy of Excellence,Milwaukee,S36191652,Combined Elementary/Secondary School,Private school,K4-12,Unknown,Yes,"633 S 12th St  Milwaukee, WI 53204-1210",https://www.academyofexcellence.net,K4,12,1,3619,1652,Voucher Students,No,633 S 12th St,Milwaukee,WI,53204-1210,Milwaukee,11,City - Large,43.02455702,-87.92747096,8,3,4,688863.7362,285626.144300001
3,Advocates for Healthy Transitional Living De Pere,West De Pere,S63281812,Combined Elementary/Secondary School,Private school,KG-12,Unknown,No,"300 S 6th St  De Pere, WI 54115",https://advocateswi.com/,KG,12,7,6328,1812,,No,300 S 6th St,De Pere,WI,54115,Brown,22,Suburb - Midsize,44.44511799,-88.07590299,88,30,8,673105.4059,443113.518999999
4,Advocates for Healthy Transitional Living Shawano,Shawano,S52641813,Combined Elementary/Secondary School,Private school,KG-12,Unknown,No,"112 East Maurer Street  Shawno, WI 54166-2942",https://advocateswi.com/,KG,12,8,5264,1813,,No,112 East Maurer Street,Shawno,WI,54166-2942,Shawano,32,Town - Distant,44.77540198,-88.60845802,6,2,8,630102.5254,478942.702500001
5,Agape School,Big Foot UHS,S60131522,Combined Elementary/Secondary School,Private school,06-12,Unknown,No,"215 S Main St  Walworth, WI 53184-9605",https://agapehouseheals.org,06,12,2,6013,1522,,No,215 S Main St,Walworth,WI,53184-9605,Walworth,32,Town - Distant,42.52925699,-88.59988903,31,11,1,634989.0631,229491.553200001
6,All Nations Academy,Madison Metropolitan,S32691884,Elementary School,Private school,K4-05,Unknown,No,"4301 Mandrake Rd  Madison, WI 53704",https://allnationsmadison.org,K4,05,2,3269,1884,,No,4301 Mandrake Rd,Madison,WI,53704,Dane,11,City - Large,43.14128202,-89.37761699,76,26,2,570613.0945,296692.096000001
7,All Saints Catholic School,Kenosha,S27931624,Elementary School,Private school,K4-08,Unknown,No,"4400 22nd Ave  Kenosha, WI 53140",https://www.allsaintskenosha.org,K4,08,1,2793,1624,,No,4400 22nd Ave,Kenosha,WI,53140,Kenosha,13,City - Small,42.59626599,-87.83617603,64,22,1,697523.6779,238251.8137
8,All Saints Catholic School,Antigo Unified,S01404700,Elementary School,Private school,K4-08,Unknown,No,"419 6th Ave  Antigo, WI 54409-2104",https://www.ascscrusaders.org,K4,08,9,0140,4700,,No,419 6th Ave,Antigo,WI,54409-2104,Langlade,32,Town - Distant,45.13833101,-89.14753803,35,12,7,587025.1713,518670.8423
9,All Saints Regional Catholic School,Berlin Area,S04340133,Elementary School,Private school,K4-08,Unknown,No,"N8566 State Rd 49  Berlin, WI 54923",https://www.allsaintsberlin.org,K4,08,6,0434,0133,,No,N8566 State Rd 49,Berlin,WI,54923,Green Lake,41,Rural - Fringe,43.94324103,-88.94397966,39,13,6,604746.3483,386110.7686
10,All Saints Grade School,Denmark,S14071294,Elementary School,Private school,K4-08,Unknown,Yes,"145 N St Claude St  Denmark, WI 54208",https://allsaintsschooldenmark.net/,K4,08,7,1407,1294,All Students,No,145 N St Claude St,Denmark,WI,54208,Brown,42,Rural - Distant,44.34875597,-87.8352145,2,1,8,692540.8658,432888.6228
