OBJECTID,School Name,District,School Type,Agency Type,Grade Range,Lowest Grade,Highest Grade,School Style,Charter?,Virtual?,CESA,District ID,School Code,DPI Unique Join Code,NCES Code,NCES District Code,NCES School Code,Full Address,Physical Street Address,City,State,ZIP Code,County of District Office,Locale Code,Locale,School Website,Wisconsin Assembly District,Wisconsin Senate District,US Congressional District,County (Physical),Latitude,Longitude,x,y
1,21st Century Preparatory School,Racine Charter One Inc,Elementary School,Non District Charter Schools,K4-08,K4,08,Regular,Yes,No,1,8010,8110,S80108110,550004502575,5500045,02575,"1220 Mound Ave  Racine, WI 53404",1220 Mound Ave,Racine,WI,53404,Racine,13,City - Small,https://www.21stprepschool.org,62,21,1,Racine,42.72913124,-87.79616195,700421.8469,253091.0407
2,4K Center for Literacy,Kimberly Area,Elementary School,Public school,PK-K4,K4,K4,Regular,No,No,6,2835,0150,S28350150,550747003029,5507470,03029,"614 E Kimberly Ave  Kimberly, WI 54136-1513",614 E Kimberly Ave,Kimberly,WI,54136-1513,Outagamie,22,Suburb - Midsize,https://www.kimberly.k12.wi.us,2,1,8,Outagamie,44.27292342,-88.32776088,653454.6917,423546.2786
3,4K Community-Based,Reedsburg,Elementary School,Public school,K4-K4,K4,K4,Regular,No,No,5,4753,0150,S47530150,551266002889,5512660,02889,"401 Alexander Ave  Reedsburg, WI 53959-1592",401 Alexander Ave,Reedsburg,WI,53959-1592,Sauk,32,Town - Distant,https://www.rsd.k12.wi.us,41,14,2,Sauk,43.52963074,-90.02458858,518013.1248,339632.4153
4,4K McFarland,McFarland,Elementary School,Public school,K4-K4,K4,K4,Regular,No,No,2,3381,0150,S33810150,550891002902,5508910,02902,"6009 Johnson St  McFarland, WI 53558",6009 Johnson St,McFarland,WI,53558,Dane,21,Suburb - Large,https://www.mcfarland.k12.wi.us,47,16,2,Dane,43.01111813,-89.2886024,577974.4956,282294.9641
5,4K PK Off Site,Madison Metropolitan,Elementary School,Public school,PK-K4,K4,K4,Regular,No,No,2,3269,0190,S32690190,550852002475,5508520,02475,"545 W Dayton St  Madison, WI 53703",545 W Dayton St,Madison,WI,53703,Dane,11,City - Large,https://www.madison.k12.wi.us,77,26,2,Dane,43.07056204,-89.39503924,569252.9551,288828.210200001
6,Abbotsford Elementary,Abbotsford,Elementary School,Public school,PK-05,K4,05,Regular,No,No,10,0007,0020,S00070020,550003000001,5500030,00001,"510 W Hemlock St  Abbotsford, WI 54405",510 W Hemlock St,Abbotsford,WI,54405,Clark,43,Rural - Remote,https://www.abbotsford.k12.wi.us,69,23,7,Clark,44.94999126,-90.3312047,493873.3056,497448.4376
7,Abbotsford Middle/Senior High,Abbotsford,High School,Public school,06-12,06,12,Regular,No,No,10,0007,0040,S00070040,550003000002,5500030,00002,"307 N 4th Ave  Abbotsford, WI 54405",307 N 4th Ave,Abbotsford,WI,54405,Clark,43,Rural - Remote,https://www.abbotsford.k12.wi.us,69,23,7,Clark,44.94999126,-90.3312047,493873.3056,497448.4376
8,Abraham Lincoln Elementary,Monroe,Elementary School,Public school,PK-05,K4,05,Regular,No,No,2,3682,0010,S36820010,550984002771,5509840,02771,"2625 14th Avenue  Monroe, WI 53566-3373",2625 14th Avenue,Monroe,WI,53566-3373,Green,32,Town - Distant,https://www.monroeschools.com,50,17,2,Green,42.58670086,-89.64288994,549301.7969,234982.0858
9,Abrams Elementary,Oconto Falls Public,Elementary School,Public school,K4-05,K4,05,Regular,No,No,8,4074,0020,S40740020,551095001431,5510950,01431,"3000 Elm St  Abrams, WI 54101",3000 Elm St,Abrams,WI,54101,Oconto,42,Rural - Distant,https://www.ofpanthers.com,4,2,8,Oconto,44.7830591,-88.05544309,673838.3389,480690.770099999
10,Academy of Accelerated Learning,Milwaukee,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,3619,0316,S36190316,550960001239,5509600,01239,"3727 S 78th St  Milwaukee, WI 53220-1603",3727 S 78th St,Milwaukee,WI,53220-1603,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,61,21,4,Milwaukee,42.97685654,-88.0110754,682177.1515,280164.053300001
12,ACE Alliance Charter Elementary,Neenah Joint,Elementary School,Public school,K4-06,K4,06,Regular,Yes,No,6,3892,0125,S38920125,551032003366,5510320,03366,"920 Higgins Ave  Neenah, WI 54956-3826",920 Higgins Ave,Neenah,WI,54956-3826,Winnebago,13,City - Small,https://www.neenah.k12.wi.us,53,18,6,Winnebago,44.17384857,-88.46179991,642963.6061,412332.4418
13,Adams-Friendship Elementary,Adams-Friendship Area,Elementary School,Public school,PK-04,K4,04,Regular,No,No,5,0014,0130,S00140130,550006001433,5500060,01433,"500 N Pierce St  Adams, WI 53910",500 N Pierce St,Adams,WI,53910,Adams,43,Rural - Remote,https://www.afasd.net,72,24,3,Adams,43.9649966,-89.81055532,535197.4865,388002.5439
14,Adams-Friendship High,Adams-Friendship Area,High School,Public school,09-12,09,12,Regular,No,No,5,0014,0040,S00140040,550006000005,5500060,00005,"1109 E North St  Adams, WI 53910",1109 E North St,Adams,WI,53910,Adams,43,Rural - Remote,https://www.afasd.net,72,24,3,Adams,43.96571419,-89.80226031,535862.7315,388083.8059
15,Adams-Friendship Middle,Adams-Friendship Area,Middle School,Public school,05-08,05,08,Regular,No,No,5,0014,0210,S00140210,550006001454,5500060,01454,"420 N Main St  Adams, WI 53910",420 N Main St,Adams,WI,53910,Adams,43,Rural - Remote,https://www.afasd.net,72,24,3,Adams,43.9636829,-89.81688216,534690.2631,387855.489700001
16,Adams Elementary,Janesville,Elementary School,Public school,PK-05,K4,05,Regular,No,No,2,2695,0020,S26950020,550702000756,5507020,00756,"1138 E Memorial Dr  Janesville, WI 53545-1800",1138 E Memorial Dr,Janesville,WI,53545-1800,Rock,13,City - Small,https://www.janesville.k12.wi.us/ada,44,15,1,Rock,42.69272367,-89.01098924,601013.5006,247167.335200001
17,Addison Elementary,Slinger,Elementary School,Public school,PK-05,K4,05,Regular,No,No,6,5390,0100,S53900100,551395002540,5513950,02540,"5050 Indian Rd  Hartford, WI 53027",5050 Indian Rd,Hartford,WI,53027,Washington,41,Rural - Fringe,https://www.slinger.k12.wi.us,59,20,5,Washington,43.37538975,-88.29782485,657895.0709,323909.520400001
18,Adeline Montessori School Inc,Adeline Montessori School Inc,Combined Elementary/Secondary School,Non District Charter Schools,K4-08,K4,08,Regular,Yes,No,1,8022,8148,S80228148,550008903150,5500089,03150,"995 S Sawyer Rd  Oconomowoc, WI 53066",995 S Sawyer Rd,Oconomowoc,WI,53066,Waukesha,41,Rural - Fringe,https://adelinemotessori.com,97,33,5,Waukesha,43.022016,-88.44401899,646781.2598,284434.334000001
20,Al Behrman Elementary,Baraboo,Elementary School,Public school,K4-05,K4,05,Regular,No,No,5,0280,0180,S02800180,550081000109,5500810,00109,"400 Mulberry St  Baraboo, WI 53913-3012",400 Mulberry St,Baraboo,WI,53913-3012,Sauk,32,Town - Distant,https://www.baraboo.k12.wi.us,40,14,2,Sauk,43.45809745,-89.73846522,541158.2238,331720.9976
21,ALBA - Academia de Lenguaje y Bellas Artes,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,Yes,No,1,3619,0162,S36190162,550960003371,5509600,03371,"1712 S 32nd St  Milwaukee, WI 53215-2104",1712 S 32nd St,Milwaukee,WI,53215-2104,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,9,3,4,Milwaukee,43.01194698,-87.95341207,686784.2061,284173.889599999
22,Albany Community Middle,Albany,Middle School,Public school,06-08,06,08,Regular,No,No,2,0063,0060,S00630060,550012002357,5500120,02357,"309 Vinton St  Albany, WI 53502",309 Vinton St,Albany,WI,53502,Green,42,Rural - Distant,https://www.albany.k12.wi.us,50,17,2,Green,42.70700911,-89.43405101,566348.2052,248434.7499
23,Albany Elementary,Albany,Elementary School,Public school,PK-05,K4,05,Regular,No,No,2,0063,0020,S00630020,550012000013,5500120,00013,"309 Vinton St  Albany, WI 53502",309 Vinton St,Albany,WI,53502,Green,42,Rural - Distant,https://www.albany.k12.wi.us,50,17,2,Green,42.70700911,-89.43405101,566348.2052,248434.7499
24,Albany High,Albany,High School,Public school,09-12,09,12,Regular,No,No,2,0063,0040,S00630040,550012000014,5500120,00014,"309 Vinton St  Albany, WI 53502",309 Vinton St,Albany,WI,53502,Green,42,Rural - Distant,https://www.albany.k12.wi.us,50,17,2,Green,42.70700911,-89.43405101,566348.2052,248434.7499
25,Alcott Elementary,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,No,No,1,3619,0075,S36190075,550960001121,5509600,01121,"3563 S 97th St  Milwaukee, WI 53228-1416",3563 S 97th St,Milwaukee,WI,53228-1416,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,61,21,4,Milwaukee,42.97945756,-88.03451662,680258.9395,280407.9187
