X,Y,OBJECTID,FACILITY_INTERNAL_ID,ADDRESS,ADDRESS_2,CITY,STATE,ZIP,ZIP_4,LAT,LON,STATE_FIPS,COUNTY,COUNTY_FIPS,TYPE_DESC,SUB_TYPE_DESC,WI_LICENSE_NUM,ASPEN_FACILITY_ID,MEDICARE_ID,TYPE_CODE,FACILITY_TYPE_CODE,FACILITY_NAME
-9782742.71333755,5321343.1012633,1,1987,2323 N Lake Dr,,Milwaukee,WI,53211,4508,43.061537,-87.879873,55,Milwaukee,55079,HOSPITAL,SHORT TERM,53,HSPLACU113,520051,1,11,ASCENSION COLUMBIA ST MARY'S HOSPITAL MILWAUKEE
-10117610.8885961,5396303.30684038,2,2027,507 S Main St,,Viroqua,WI,54665,2059,43.551547,-90.888045,55,Vernon,55123,HOSPITAL,CRITICAL ACCESS HOSPITALS,1053,HSPLACU130,521348,1,14,VERNON MEMORIAL HOSPITAL
-9798811.34787509,5312145.3681795,3,2293,8901 W Lincoln Ave,,West Allis,WI,53227,2409,43.00114,-88.02422,55,Milwaukee,55079,HOSPITAL,SHORT TERM,149,HSPLACU136,520139,1,11,AURORA WEST ALLIS MEDICAL CENTER
-9768003.23352008,5428802.46427237,4,2437,3100 Superior Ave,,Sheboygan,WI,53081,1948,43.762764,-87.747466,55,Sheboygan,55117,HOSPITAL,SHORT TERM,37,HSPLACU120,520044,1,11,ST NICHOLAS HOSPITAL
-10038685.7035822,5570975.67743051,5,2438,611 N Saint Joseph Ave,,Marshfield,WI,54449,1832,44.678031,-90.179048,55,Wood,55141,HOSPITAL,SHORT TERM,51,HSPLACU102,520037,1,11,MARSHFIELD MEDICAL CENTER
-10319333.6057796,5669178.34842521,6,2440,2600 65th Ave,,Osceola,WI,54020,4370,45.301919,-92.700151,55,Polk,55095,HOSPITAL,CRITICAL ACCESS HOSPITALS,1021,HSPLACU50,521318,1,14,LADD MEMORIAL HOSPITAL
-9911149.41200912,5264514.06075288,7,2441,1000 Mineral Point Ave,,Janesville,WI,53548,2940,42.687418,-89.03337,55,Rock,55105,HOSPITAL,SHORT TERM,162,HSPLACU64,520066,1,11,MERCY HEALTH SYSTEM CORP
-9753452.88551747,5485046.24312351,8,2719,5000 Memorial Dr,,Two Rivers,WI,54241,3900,44.126545,-87.616758,55,Manitowoc,55071,HOSPITAL,SHORT TERM,85,HSPLACU126,520034,1,11,AURORA MEDICAL CTR MANITOWOC COUNTY
-9998865.27457204,5461512.16114396,9,3065,402 W Lake St,,Friendship,WI,53934,9699,43.974599,-89.821335,55,Adams,55001,HOSPITAL,CRITICAL ACCESS HOSPITALS,1014,HSPLACU1,521309,1,14,MOUNDVIEW MEMORIAL HOSPITAL AND CLINICS
-9839937.10923427,5508651.6685807,10,3067,1818 N Meade St,,Appleton,WI,54911,3454,44.27856,-88.393659,55,Outagamie,55087,HOSPITAL,SHORT TERM,169,HSPLACU3,520160,1,11,THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC
-9788901.68680467,5246727.65393779,11,3070,10400 75th St,,Kenosha,WI,53142,7884,42.56986,-87.9352,55,Kenosha,55059,HOSPITAL,SHORT TERM,1001,HSPLACU6,520189,1,11,AURORA MEDICAL CTR KENOSHA
-10283549.9554641,5612291.07772575,12,3071,1100 Bergslien St,,Baldwin,WI,54002,2600,44.941338,-92.378701,55,Saint Croix,55109,HOSPITAL,CRITICAL ACCESS HOSPITALS,1052,HSPLACU7,521347,1,14,WESTERN WISCONSIN HEALTH
-10223635.0225319,5684299.76710469,13,3072,1222 E Woodland Ave,,Barron,WI,54812,1765,45.397383,-91.840476,55,Barron,55005,HOSPITAL,CRITICAL ACCESS HOSPITALS,1018,HSPLACU8,521315,1,14,MAYO CLINIC HEALTH SYSTEM-NORTHLAND
-9756859.48457473,5632669.66348565,14,3073,3003 University Dr,,Marinette,WI,54143,4110,45.07077,-87.64736,55,Marinette,55075,HOSPITAL,SHORT TERM,155,HSPLACU9,520113,1,11,BAY AREA MEDICAL CENTER
-9888048.16864072,5380537.03960592,15,3074,707 S University Ave,,Beaver Dam,WI,53916,3027,43.448812,-88.825848,55,Dodge,55027,HOSPITAL,SHORT TERM,199,HSPLACU10,520076,1,11,BEAVER DAM COMMUNITY HOSPITAL
-9797367.97935746,5543500.40503681,16,3075,744 S Webster Ave,,Green Bay,WI,54305,3505,44.502263,-88.011254,55,Brown,55009,HOSPITAL,SHORT TERM,147,HSPLACU11,520049,1,11,BELLIN MEMORIAL HOSPITAL
-9908376.33217397,5243464.15040188,17,3076,1969 W Hart Rd,,Beloit,WI,53511,2230,42.548266,-89.008459,55,Rock,55105,HOSPITAL,SHORT TERM,67,HSPLACU12,520100,1,11,BELOIT MEMORIAL HOSPITAL
-10113939.0151923,5512479.24585101,18,3078,711 W Adams St,,Black River Falls,WI,54615,2200,44.303172,-90.85506,55,Jackson,55053,HOSPITAL,CRITICAL ACCESS HOSPITALS,1037,HSPLACU14,521333,1,14,BLACK RIVER MEMORIAL HOSPITAL
-10185928.3280129,5637578.47725705,19,3079,1501 Thompson St,,Bloomer,WI,54724,1257,45.101904,-91.501751,55,Chippewa,55017,HOSPITAL,CRITICAL ACCESS HOSPITALS,1017,HSPLACU15,521314,1,14,MAYO CLINIC HEALTH SYSTEM-CHIPPEWA VALLEY
-10097588.4083846,5332294.20367444,20,3080,205 Parker St,,Boscobel,WI,53805,1642,43.13337,-90.70818,55,Grant,55043,HOSPITAL,CRITICAL ACCESS HOSPITALS,1048,HSPLACU16,521344,1,14,GUNDERSEN BOSCOBEL AREA HOSPITAL AND CLINICS
-10317843.7057148,5744269.59417561,21,3081,257 W Saint George Ave,,Grantsburg,WI,54840,7827,45.774397,-92.686767,55,Burnett,55013,HOSPITAL,CRITICAL ACCESS HOSPITALS,1034,HSPLACU17,521331,1,14,BURNETT MEDICAL CENTER
-9985601.8912025,5763294.27655426,22,3165,240 Maple St,,Woodruff,WI,54568,9190,45.893471,-89.702188,55,Oneida,55085,HOSPITAL,SHORT TERM,201,HSPLACU45,520091,1,11,HOWARD YOUNG MEDICAL CTR
-10086406.0315759,5552176.32113514,23,3166,216 Sunset Pl,,Neillsville,WI,54456,1706,44.557823,-90.607727,55,Clark,55019,HOSPITAL,CRITICAL ACCESS HOSPITALS,1026,HSPLACU62,521323,1,14,MARSHFIELD MEDICAL CENTER - NEILLSVILLE
-9788970.70488896,5309789.40737173,24,3496,3237 S 16th St,,Milwaukee,WI,53215,4526,42.98566,-87.93582,55,Milwaukee,55079,HOSPITAL,SHORT TERM,75,HSPLACU98,520078,1,11,ASCENSION ST FRANCIS HOSPITAL
-9959383.70209188,5398646.55794484,25,3497,2817 New Pinery Rd,,Portage,WI,53901,9240,43.566801,-89.466666,55,Columbia,55021,HOSPITAL,SHORT TERM,80,HSPLACU27,520041,1,11,DIVINE SAVIOR HEALTHCARE
-9915977.56096381,5519085.01410691,26,3535,800 Riverside Dr,,Waupaca,WI,54981,1943,44.345624,-89.076742,55,Waupaca,55135,HOSPITAL,CRITICAL ACCESS HOSPITALS,1038,HSPLACU76,521334,1,14,THEDACARE MEDICAL CENTER - WAUPACA INC
-10157585.940379,5433661.84443716,27,3666,1910 South Ave,,La Crosse,WI,54601,5467,43.794282,-91.247147,55,La Crosse,55063,HOSPITAL,SHORT TERM,23,HSPLACU49,520087,1,11,GUNDERSEN LUTHERAN MEDICAL CENTER
-10058385.8025484,5642841.23020793,28,3667,135 S Gibson St,,Medford,WI,54451,1622,45.135264,-90.356017,55,Taylor,55119,HOSPITAL,CRITICAL ACCESS HOSPITALS,1027,HSPLACU57,521324,1,14,"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC"
-9840942.43555562,5503949.48368309,29,3867,1506 S Oneida St,,Appleton,WI,54915,1305,44.24831,-88.40269,55,Outagamie,55087,HOSPITAL,SHORT TERM,88,HSPLACU97,520009,1,11,ASCENSION NE WISCONSIN - ST ELIZABETH CAMPUS
-9823175.06558857,5313672.79836826,30,3995,725 American Ave,,Waukesha,WI,53188,5031,43.011174,-88.243083,55,Waukesha,55133,HOSPITAL,SHORT TERM,41,HSPLACU133,520008,1,11,WAUKESHA MEMORIAL HOSPITAL
-9952130.56934975,5320997.70099424,31,4134,700 S Park St,,Madison,WI,53715,1830,43.05927,-89.40151,55,Dane,55025,HOSPITAL,SHORT TERM,71,HSPLACU111,520083,1,11,SSM HEALTH ST MARY'S HOSPITAL - MADISON
-9935448.56441795,5768847.63515145,32,4178,201 Hospital Rd,,Eagle River,WI,54521,8835,45.928181,-89.251653,55,Vilas,55125,HOSPITAL,CRITICAL ACCESS HOSPITALS,1000,HSPLCRI1,521300,1,14,ASCENSION EAGLE RIVER HOSPITAL
-9763878.06714976,5430359.84503707,33,4490,2629 N 7th St,,Sheboygan,WI,53083,4932,43.772867,-87.710409,55,Sheboygan,55117,HOSPITAL,SHORT TERM,38,HSPLACU87,520035,1,11,AURORA SHEBOYGAN MEMORIAL MEDICAL CTR
-10057149.7109226,5411235.05846596,34,4586,400 Water Ave,,Hillsboro,WI,54634,9054,43.648683,-90.344913,55,Vernon,55123,HOSPITAL,CRITICAL ACCESS HOSPITALS,1005,HSPLCRI6,521304,1,14,GUNDERSEN ST JOSEPHS HOSPITAL AND CLINICS
-9787888.122841,5351092.71013411,35,4734,13111 N Port Washington Rd,,Mequon,WI,53097,2416,43.256481,-87.926095,55,Ozaukee,55089,HOSPITAL,SHORT TERM,246,HSPLACU114,520027,1,11,ASCENSION COLUMBIA ST MARY'S HOSPITAL OZAUKEE
-9970560.95820396,5547238.49776549,36,4876,900 Illinois Ave,,Stevens Point,WI,54481,3114,44.526208,-89.567073,55,Portage,55097,HOSPITAL,SHORT TERM,146,HSPLACU119,520002,1,11,ASCENSION ST MICHAELS HOSPITAL
-9952149.49366319,5321850.94055502,37,4902,202 S Park St,,Madison,WI,53715,1507,43.06487,-89.40168,55,Dane,55025,HOSPITAL,SHORT TERM,248,HSPLACU66,520089,1,11,UNITYPOINT HEALTH - MERITER
